Taxa	DECLATITUDE	DECLONGITUDE
ICARDA_G0974	11.8333	38.1
ICARDA_G0747	13.5333	39.55
ICARDA_G0180	9.1	35.45
ICARDA_G1258	9.68333	39.5167
ICARDA_G1059	7.21667	38.55
ICARDA_G0398	6.36667	38.6167
ICARDA_G1377	6.36667	38.6167
ICARDA_G0015	6.36667	38.6167
ICARDA_G0730	6.36667	38.6167
ICARDA_G0500	6.36667	38.6167
ICARDA_G0861	10.35	38.7333
ICARDA_G0427	8.33333	39.3167
ICARDA_G1243	6.23333	38.3667
ICARDA_G1413	7.65	36.7833
ICARDA_G0450	7.06667	38.7833
ICARDA_G0405	6.98333	39.1833
ICARDA_G1247	7.53333	39.25
ICARDA_G1262	7.58333	38.9
ICARDA_G0579	7.85	39.9667
ICARDA_G1397	7.53333	39.25
ICARDA_G0547	12.2833	37.7333
ICARDA_G0260	7.58333	36.55
ICARDA_G1114	7.83333	36.6333
ICARDA_G0004	9.53333	39.45
ICARDA_G0049	9.68333	39.5167
ICARDA_G0020	9.33333	39.35
ICARDA_G1047	9.83333	38.7667
ICARDA_G1264	31.35	121.267
ICARDA_G0240	41.35	22.6167
ICARDA_G1465	41.9	21.2833
ICARDA_G1068	41.15	21.2667
ICARDA_G0603	-13.5167	-71.9833
ICARDA_G1361	-6.76667	-79.85
ICARDA_G0392	41.7	21.8333
ICARDA_G0601	41.8333	20.8667
ICARDA_G1246	41.4333	22.0167
ICARDA_G0438	42.15	21.8
ICARDA_G0455	41.5167	22.1333
ICARDA_G0231	41.7872	22.105
ICARDA_G0591	41.2333	22.6167
ICARDA_G0331	41.2833	22.5167
ICARDA_G1233	41.25	22.4833
ICARDA_G0407	41.8833	22.2
ICARDA_G0102	42.2	22.35
ICARDA_G0046	42.1667	21.8667
ICARDA_G0131	42.15	22.0167
ICARDA_G0204	41.8333	22.5833
ICARDA_G0315	41.8333	22
ICARDA_G0941	32.85	13.25
ICARDA_G0019	36.4833	74.9
ICARDA_G0977	36.32	74.86
ICARDA_G0696	36.39	73.3333
ICARDA_G1092	36.1619	72.7
ICARDA_G1066	36.17	72.9267
ICARDA_G0528	36.2556	73.6
ICARDA_G0566	35.32	73.83
ICARDA_G1319	35.22	74.9189
ICARDA_G0252	35.71	74.58
ICARDA_G0365	35.6	75.1292
ICARDA_G1312	35.45	75.72
ICARDA_G1064	35.5167	75.6667
ICARDA_G1294	35.57	75.6
ICARDA_G0447	35.18	76.07
ICARDA_G0308	35.19	76.1833
ICARDA_G0101	34.98	76.54
ICARDA_G0756	35.1181	76.475
ICARDA_G0919	35.09	76
ICARDA_G0755	34.9139	76.2069
ICARDA_G1206	35.18	75.9039
ICARDA_G0322	36.01	72
ICARDA_G1321	35.97	71.9736
ICARDA_G0403	35.93	71.85
ICARDA_G0524	35.47	71.74
ICARDA_G1436	35.2	71.9
ICARDA_G0457	35.0333	5.6
ICARDA_G0035	34.2833	133.967
ICARDA_G1212	47	-110
ICARDA_G0233	37.6167	62.1667
ICARDA_G1441	34.1667	77.5833
ICARDA_G0388	40.4167	49.8333
ICARDA_G1368	35.75	139.75
ICARDA_G1021	-16.5	-68.15
ICARDA_G1276	46.8167	-100.817
ICARDA_G1350	42.9	74.6
ICARDA_G0293	46.3167	39.4
ICARDA_G0926	46.3167	39.4
ICARDA_G0631	-12.5	-72.5
ICARDA_G0706	25.9833	85.6833
ICARDA_G0703	-32.8333	150.133
ICARDA_G1188	28.8667	120.717
ICARDA_G0387	30.4167	77.9333
ICARDA_G0334	47	-120
ICARDA_G1018	-17.7667	-67.4833
ICARDA_G1362	45	-93
ICARDA_G0749	37.5333	-77.45
ICARDA_G0313	33.3333	44.4333
ICARDA_G0320	41.5	-100
ICARDA_G0563	29.3	120.05
ICARDA_G1192	36.0333	0.13333
ICARDA_G0126	36.7667	-119.417
ICARDA_G1367	39.7667	-86.15
ICARDA_G0742	43	-75
ICARDA_G0076	47	-110
ICARDA_G0627	52.0667	-106.817
ICARDA_G1109	41.7167	44.7833
ICARDA_G1305	-25	30
ICARDA_G1160	28.4	77.85
ICARDA_G1421	44.95	34.0833
ICARDA_G0736	32	117
ICARDA_G1345	34.1667	77.5833
ICARDA_G0246	36.7667	-119.417
ICARDA_G0005	NULL	NULL
ICARDA_G0776	48.5	135.1
ICARDA_G1382	33.05	118.8
ICARDA_G0234	33.05	118.8
ICARDA_G0284	NULL	NULL
ICARDA_G0502	NULL	NULL
ICARDA_G1081	NULL	NULL
ICARDA_G1404	34.6667	103.383
ICARDA_G0986	24.45	118.083
ICARDA_G0518	24.45	118.083
ICARDA_G0670	32.3833	120.55
ICARDA_G1175	33.05	118.8
ICARDA_G0042	30	120.583
ICARDA_G1022	30	120.583
ICARDA_G1308	29.8833	121.767
ICARDA_G1108	31.3833	120.95
ICARDA_G0536	28.9667	118.867
ICARDA_G0732	10.0667	-69.3333
ICARDA_G0653	10.1667	-69.75
ICARDA_G0914	-34.8833	-56.1833
ICARDA_G1217	33.0181	35.5831
ICARDA_G0321	62.5	9.66667
ICARDA_G1390	61.5	10
ICARDA_G1224	31.7833	35.2333
ICARDA_G0855	45	-93
ICARDA_G0906	32	90
ICARDA_G0774	33	77
ICARDA_G0244	48.5	35
ICARDA_G1416	35.1667	6.06667
ICARDA_G0985	52.8333	-2.3
ICARDA_G1105	33.1	6.06667
ICARDA_G0129	35.0331	5.59778
ICARDA_G0413	36.7725	3.04056
ICARDA_G1209	31.4167	73.0833
ICARDA_G0567	31.4167	73.0833
ICARDA_G0980	33.6667	73.1333
ICARDA_G1107	28.65	77.2333
ICARDA_G0205	32.1167	77.2333
ICARDA_G0230	28.3	30.65
ICARDA_G1189	43.8167	131.967
ICARDA_G1417	43.8167	131.967
ICARDA_G0473	40.0922	-3.87361
ICARDA_G0262	28.0833	30.75
ICARDA_G0978	28.0833	30.75
ICARDA_G0678	28.0833	30.75
ICARDA_G1257	31.5167	25.1667
ICARDA_G0146	31.5167	25.1667
ICARDA_G0426	31.5167	25.1667
ICARDA_G0865	30.9167	29.5333
ICARDA_G0342	30.9333	29.5833
ICARDA_G0256	31.0167	29.8
ICARDA_G0965	31.0167	29.8
ICARDA_G1133	31.0167	29.8
ICARDA_G0130	30.6667	31.6
ICARDA_G1225	30.6667	31.6
ICARDA_G0540	30.8	31.8
ICARDA_G1432	30.8	31.8
ICARDA_G0249	41.7167	44.7833
ICARDA_G0804	54.5333	36.2833
ICARDA_G1389	47.2333	39.7167
ICARDA_G0112	37.5333	-77.45
ICARDA_G0147	35.7167	64.1
ICARDA_G0361	35.5333	67.8
ICARDA_G0333	36.7333	69.55
ICARDA_G1260	36.8333	70.5167
ICARDA_G0454	35.8833	67.965
ICARDA_G0800	36.7	67.1
ICARDA_G1420	35.3333	70.15
ICARDA_G0286	34.6833	62.9167
ICARDA_G0689	35.7167	64.1
ICARDA_G0825	34.9167	67.5
ICARDA_G1111	34.65	67.1667
ICARDA_G0081	34.4167	68.3
ICARDA_G0404	41.8	123.45
ICARDA_G0905	40.2	116.633
ICARDA_G0597	8.6	39.1167
ICARDA_G1340	8.6	39.1167
ICARDA_G1178	32.05	118.767
ICARDA_G0040	39.1333	112.983
ICARDA_G0134	31.1333	105.05
ICARDA_G0717	31.8667	106.75
ICARDA_G0195	30.75	103.967
ICARDA_G0495	30.6833	104.067
ICARDA_G0011	23.1167	113.25
ICARDA_G0037	45.7333	126.6
ICARDA_G0947	43.5	124.817
ICARDA_G1306	40.59	46.561
ICARDA_G1414	44.2167	126.083
ICARDA_G1051	43.8833	125.317
ICARDA_G1415	42.85	125.033
ICARDA_G0164	43.6667	124.5
ICARDA_G0477	44.15	125.883
ICARDA_G0298	44.1167	129.217
ICARDA_G0766	48	128
