BIO1	BIO2	BIO3	BIO4	BIO5	BIO6	BIO7	BIO8	BIO9	BIO10	BIO11	BIO12	BIO13	BIO14	BIO15	BIO16	BIO17	BIO18	BIO19
ICARDA_G0906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0244	104	149	38	8493	325	-64	389	82	211	214	-5	378	77	1	81	187	3	7	141
ICARDA_G1416	215	121	81	791	296	148	148	205	222	226	205	1208	162	28	44	435	117	178	435
ICARDA_G0985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1105	275	124	74	1204	367	200	167	261	282	292	261	875	151	8	65	401	33	124	401
ICARDA_G0129	244	119	80	853	326	179	147	249	252	257	234	834	109	17	42	290	84	132	272
ICARDA_G0413	272	134	83	806	359	198	161	277	260	282	260	215	53	1	87	100	12	52	12
ICARDA_G1209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0230	188	108	44	4736	301	60	241	126	243	246	126	86	22	0	100	57	0	0	57
ICARDA_G1189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0262	189	103	44	4645	297	64	233	128	243	246	128	95	26	0	113	64	0	0	64
ICARDA_G0978	189	103	44	4645	297	64	233	128	243	246	128	95	26	0	113	64	0	0	64
ICARDA_G0678	189	103	44	4645	297	64	233	128	243	246	128	95	26	0	113	64	0	0	64
ICARDA_G1257	227	172	49	6306	386	41	345	196	149	298	138	1	1	0	28	1	0	0	1
ICARDA_G0146	227	172	49	6306	386	41	345	196	149	298	138	1	1	0	28	1	0	0	1
ICARDA_G0426	227	172	49	6306	386	41	345	196	149	298	138	1	1	0	28	1	0	0	1
ICARDA_G0865	212	148	48	5748	360	55	305	152	268	280	133	11	3	0	104	7	0	0	7
ICARDA_G0342	212	148	48	5748	360	55	305	152	268	280	133	11	3	0	104	7	0	0	7
ICARDA_G0256	211	142	48	5488	353	63	290	135	264	275	135	16	4	0	77	11	0	0	11
ICARDA_G0965	211	142	48	5488	353	63	290	135	264	275	135	16	4	0	77	11	0	0	11
ICARDA_G1133	211	142	48	5488	353	63	290	135	264	275	135	16	4	0	77	11	0	0	11
ICARDA_G0130	204	93	43	4541	311	98	213	145	257	259	145	172	46	0	111	121	0	0	121
ICARDA_G1225	204	93	43	4541	311	98	213	145	257	259	145	172	46	0	111	121	0	0	121
ICARDA_G0540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0249	103	103	30	8670	285	-58	343	193	-1	213	-9	603	83	28	31	218	93	210	99
ICARDA_G0804	150	124	35	8182	329	-18	347	96	246	253	43	203	35	4	56	86	15	17	64
ICARDA_G1389	135	92	28	8056	306	-16	322	172	231	237	31	404	58	17	35	150	63	81	83
ICARDA_G0112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0147	13	73	20	9320	194	-156	350	80	-99	135	-106	498	71	20	38	190	67	170	78
ICARDA_G0361	-9	67	21	8242	159	-156	315	101	-107	101	-111	486	63	21	35	180	71	180	79
ICARDA_G0333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0454	-9	66	21	8134	157	-154	311	99	-106	99	-110	490	63	22	33	179	74	179	82
ICARDA_G0800	-6	68	21	8389	165	-156	321	106	-106	106	-110	486	64	21	33	173	74	173	78
ICARDA_G1420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0286	16	75	21	9409	199	-156	355	82	-97	139	-105	562	82	23	37	211	80	195	90
ICARDA_G0689	13	73	20	9320	194	-156	350	80	-99	135	-106	498	71	20	38	190	67	170	78
ICARDA_G0825	-7	68	21	8418	164	-157	321	105	-107	105	-112	487	64	21	36	182	71	182	77
ICARDA_G1111	-7	70	21	8582	167	-161	328	98	-109	107	-115	499	66	22	35	184	74	182	80
ICARDA_G0081	-10	66	20	8354	160	-157	317	101	-108	101	-114	507	68	23	35	189	75	189	85
ICARDA_G0404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0597	163	86	37	5151	293	64	229	115	229	233	103	581	87	3	59	243	22	50	231
ICARDA_G1340	163	86	37	5151	293	64	229	115	229	233	103	581	87	3	59	243	22	50	231
ICARDA_G1178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1306	101	94	25	9759	296	-70	366	205	-18	223	-25	562	62	35	19	169	116	163	142
ICARDA_G1414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
